# cat exp/tri1/decode/scoring_kaldi/penalty_1.0/17.txt | align-text --special-symbol='***' ark:exp/tri1/decode/scoring_kaldi/test_filt.txt ark:- ark,t:- | utils/scoring/wer_per_utt_details.pl --special-symbol '***' | tee exp/tri1/decode/scoring_kaldi/wer_details/per_utt | utils/scoring/wer_per_spk_details.pl data/test/utt2spk > exp/tri1/decode/scoring_kaldi/wer_details/per_spk 
# Started at Sun Feb  6 09:58:28 HKT 2022
#
align-text '--special-symbol=***' ark:exp/tri1/decode/scoring_kaldi/test_filt.txt ark:- ark,t:- 
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
LOG (align-text[5.5.986~1-5caf25]:main():align-text.cc:135) Done 2078 sentences, failed for 200
utils/scoring/wer_per_utt_details.pl: Note: handling as utf-8 text
utils/scoring/wer_per_spk_details.pl: Note: handling as utf-8 text
utils/scoring/wer_per_spk_details.pl: Note: handling as utf-8 text
# Accounting: time=0 threads=1
# Ended (code 0) at Sun Feb  6 09:58:28 HKT 2022, elapsed time 0 seconds
